Response ID,Respondent Name,Submission Date & Time,State,City,Region Classification,Age Group,Gender,Occupation,Monthly Income Group,Q07: Online Impulse Freq,Q08: Offline Impulse Freq,Q09: Typical Unplanned Spend,Preferred Shopping Mode,Q10: Need for Touch (1-5),Q11: In-Store Displays (1-5),Q12: Cashier Counter Impulse (1-5),Q13: Salesperson Influence (1-5),Q14: AI Personalization (1-5),Q15: Countdown Urgency (1-5),Q16: Stock Scarcity FOMO (1-5),Q17: Social Proof Reviews (1-5),Q18: Push Notification Alerts (1-5),Q19: Primary Payment Method,Q20: UPI Pain of Paying (1-5),Q21: BNPL Spend Lift (1-5),Q22: Online Impulse Regret (1-5),Q23: Offline Satisfaction (1-5),Q24: Online Return Frequency (1-5),Q25: Deceptive Urgency Trust Loss (1-5),Data Integrity Source Tag
RESP-2026-0059,Pankaj Mandloi,2026-09-07T13:12:34.676Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,5,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0060,Parul Patidar,2026-09-08T13:10:31.222Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0061,Pradeep Mukati,2026-09-09T13:08:27.767Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0062,Prakash Chouhan,2026-09-10T13:06:24.313Z,Madhya Pradesh,Indore (Palasia),Indore Hub,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,5,4,5,4,4,5,5,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,5,3,5,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0063,Praveen Solanki,2026-09-11T13:04:20.858Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0064,Preeti Parmar,2026-09-12T13:02:17.403Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0065,Priyanka Sisodia,2026-09-13T13:00:13.950Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0066,Rahul Rathore,2026-08-31T12:58:10.496Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0067,Rajesh Mewada,2026-09-01T12:56:07.041Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,18 – 24 years (Student / Young Starter),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,4,5,4,5,4,4,4,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,4,4,4,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0068,Rajnish Panwar,2026-09-02T12:54:03.588Z,Madhya Pradesh,Indore (Palasia),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0069,Rakesh Gehlot,2026-09-03T12:52:00.134Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0070,Ramesh Tanwar,2026-09-04T12:49:56.680Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0071,Ravi Baghel,2026-09-05T12:47:53.225Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,5,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0072,Riddhima Bhuria,2026-09-06T12:45:49.771Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,18 – 24 years (Student / Young Starter),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0073,Rishabh Rawat,2026-09-07T12:43:46.316Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0074,Ritesh Jamra,2026-09-08T12:41:42.862Z,Madhya Pradesh,Indore (Palasia),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0075,Rohit Dawar,2026-09-09T12:39:39.408Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0076,Ruchi Solanki,2026-09-10T12:37:35.953Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0077,Sachin Varma,2026-09-11T12:35:32.499Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,50 years and above,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0078,Sakshi Mandloi,2026-09-12T12:33:29.045Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0079,Sameer Dangi,2026-09-13T12:31:25.590Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0080,Sandeep Patel,2026-08-31T12:29:22.136Z,Madhya Pradesh,Indore (Palasia),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0081,Sanjay Chouhan,2026-09-01T12:27:18.681Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0082,Sanjana Verma,2026-09-02T12:25:15.227Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,50 years and above,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,Cash on Delivery (COD) / Physical Cash,2,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0083,Santosh Joshi,2026-09-03T12:23:11.772Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,18 – 24 years (Student / Young Starter),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,5,5,5,5,4,5,5,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,5,4,5,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0084,Sarika Sharma,2026-09-04T12:21:08.318Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0085,Shalini Jain,2026-09-05T12:19:04.864Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0086,Shashank Gupta,2026-09-06T12:17:01.409Z,Madhya Pradesh,Indore (Palasia),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0087,Shivam Agarwal,2026-09-07T12:14:57.956Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,50 years and above,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0088,Shivani Yadav,2026-09-08T13:12:54.503Z,Madhya Pradesh,Bhopal,Rest of MP,18 – 24 years (Student / Young Starter),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,4,2,4,4,4,4,4,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,4,3,4,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0089,Shreya Singh,2026-09-09T13:10:51.049Z,Madhya Pradesh,Ujjain,Rest of MP,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0090,Shruti Dubey,2026-09-10T13:08:47.595Z,Madhya Pradesh,Gwalior,Rest of MP,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0091,Simran Pandey,2026-09-11T13:06:44.141Z,Madhya Pradesh,Jabalpur,Rest of MP,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0092,Sonali Shukla,2026-09-12T13:04:40.686Z,Madhya Pradesh,Bhopal,Rest of MP,50 years and above,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,Cash on Delivery (COD) / Physical Cash,2,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0093,Sourabh Mishra,2026-09-13T13:02:37.233Z,Madhya Pradesh,Ujjain,Rest of MP,18 – 24 years (Student / Young Starter),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,Buy Now Pay Later (BNPL),5,5,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0094,Subhash Saxena,2026-08-31T13:00:33.778Z,Madhya Pradesh,Gwalior,Rest of MP,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0095,Suhani Soni,2026-09-01T12:58:30.324Z,Madhya Pradesh,Jabalpur,Rest of MP,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,5,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0096,Sumit Bhatnagar,2026-09-02T12:56:26.870Z,Madhya Pradesh,Bhopal,Rest of MP,35 – 49 years,Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0097,Sunil Malviya,2026-09-03T12:54:23.415Z,Madhya Pradesh,Ujjain,Rest of MP,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0098,Suraj Rathore,2026-09-04T12:52:19.960Z,Madhya Pradesh,Gwalior,Rest of MP,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,5,4,5,4,4,5,5,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,5,3,5,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0099,Surendra Rajput,2026-09-05T12:50:16.506Z,Madhya Pradesh,Jabalpur,Rest of MP,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0100,Tanvi Solanki,2026-09-06T12:48:13.052Z,Madhya Pradesh,Bhopal,Rest of MP,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0101,Tarun Goyal,2026-09-07T12:46:09.597Z,Madhya Pradesh,Ujjain,Rest of MP,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0102,Tushar Bansal,2026-09-08T12:44:06.142Z,Madhya Pradesh,Gwalior,Rest of MP,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0103,Udit Mehta,2026-09-09T12:42:02.688Z,Madhya Pradesh,Jabalpur,Rest of MP,18 – 24 years (Student / Young Starter),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,4,5,4,5,4,4,4,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,4,4,4,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0104,Urvashi Shah,2026-09-10T12:39:59.234Z,Madhya Pradesh,Bhopal,Rest of MP,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0105,Utkarsh Khatri,2026-09-11T12:37:55.780Z,Madhya Pradesh,Ujjain,Rest of MP,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0106,Vaibhav Srivastava,2026-09-12T12:35:52.326Z,Madhya Pradesh,Gwalior,Rest of MP,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0107,Varun Tripathi,2026-09-13T12:33:48.871Z,Madhya Pradesh,Jabalpur,Rest of MP,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,5,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0108,Vedant Chaturvedi,2026-08-31T12:31:45.417Z,Madhya Pradesh,Bhopal,Rest of MP,18 – 24 years (Student / Young Starter),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0109,Vikas Ojha,2026-09-01T12:29:41.962Z,Madhya Pradesh,Ujjain,Rest of MP,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0110,Vikram Pathak,2026-09-02T12:27:38.508Z,Madhya Pradesh,Gwalior,Rest of MP,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0111,Vinay Dixit,2026-09-03T12:25:35.054Z,Madhya Pradesh,Jabalpur,Rest of MP,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0112,Vipin Agrawal,2026-09-04T12:23:31.600Z,Madhya Pradesh,Bhopal,Rest of MP,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0113,Vivek Upadhyay,2026-09-05T12:21:28.147Z,Madhya Pradesh,Ujjain,Rest of MP,50 years and above,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0114,Yash Chhabra,2026-09-06T12:19:24.692Z,Madhya Pradesh,Gwalior,Rest of MP,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0115,Yogesh Bhardwaj,2026-09-07T12:17:21.238Z,Madhya Pradesh,Jabalpur,Rest of MP,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0116,Aaditya Rawat,2026-09-08T12:15:17.783Z,Madhya Pradesh,Bhopal,Rest of MP,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0117,Abhinav Tomar,2026-09-09T13:13:14.329Z,Madhya Pradesh,Ujjain,Rest of MP,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0118,Aishwarya Chauhan,2026-09-10T13:11:10.874Z,Madhya Pradesh,Gwalior,Rest of MP,50 years and above,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,Cash on Delivery (COD) / Physical Cash,2,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
